type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2020-12-13 15:39:50,50.75733232,7.04017852,4,109.260,,1.430,314,,36,,
T,2020-12-13 15:39:51,50.75734105,7.04015991,4,109.078,,1.450,311,,36,,
T,2020-12-13 15:39:52,50.75735083,7.04014162,4,108.972,,1.510,312,,36,,
T,2020-12-13 15:39:53,50.75736119,7.04012693,4,108.688,,1.460,317,,36,,
T,2020-12-13 15:39:54,50.75737275,7.04011096,4,108.580,,1.480,319,,36,,
T,2020-12-13 15:39:55,50.75738416,7.04009430,4,108.800,,1.530,314,,36,,
T,2020-12-13 15:39:56,50.75739265,7.04007288,4,108.849,,1.530,306,,36,,
T,2020-12-13 15:39:57,50.75739970,7.04004934,4,108.101,,1.500,303,,36,,
T,2020-12-13 15:39:58,50.75740558,7.04002743,4,108.505,,1.500,300,,36,,
T,2020-12-13 15:39:59,50.75741195,7.04000549,4,108.718,,1.530,307,,36,,
T,2020-12-13 15:40:00,50.75741805,7.03998525,4,108.088,,1.460,304,,36,,
T,2020-12-13 15:40:01,50.75742365,7.03996302,4,107.918,,1.500,300,,36,,
T,2020-12-13 15:40:02,50.75742718,7.03993807,4,107.654,,1.540,290,,36,,
T,2020-12-13 15:40:03,50.75743463,7.03991708,4,107.948,,1.490,302,,36,,
T,2020-12-13 15:40:04,50.75744216,7.03989978,4,106.380,,1.480,305,,36,,
T,2020-12-13 15:40:05,50.75744810,7.03987735,4,106.795,,1.550,296,,36,,
T,2020-12-13 15:40:06,50.75745505,7.03985808,4,107.658,,1.480,305,,36,,
T,2020-12-13 15:40:07,50.75746180,7.03983961,4,108.025,,1.520,301,,36,,
T,2020-12-13 15:40:08,50.75747011,7.03982269,4,108.263,,1.510,312,,36,,
T,2020-12-13 15:40:09,50.75747591,7.03980154,4,108.407,,1.630,293,,36,,
T,2020-12-13 15:40:10,50.75748397,7.03978392,4,106.374,,1.560,304,,36,,
T,2020-12-13 15:40:11,50.75749140,7.03976552,4,106.980,,1.550,298,,36,,
T,2020-12-13 15:40:12,50.75750196,7.03974989,4,107.436,,1.600,315,,36,,
T,2020-12-13 15:40:13,50.75751100,7.03972843,4,107.081,,1.590,302,,36,,
T,2020-12-13 15:40:14,50.75752013,7.03970572,4,107.592,,1.630,306,,36,,
T,2020-12-13 15:40:15,50.75752789,7.03968777,4,107.489,,1.350,315,,36,,
T,2020-12-13 15:40:16,50.75753352,7.03966679,4,107.534,,1.580,295,,36,,
T,2020-12-13 15:40:17,50.75754049,7.03964391,4,107.131,,1.540,299,,36,,
T,2020-12-13 15:40:18,50.75754639,7.03962204,4,107.092,,1.470,294,,36,,
T,2020-12-13 15:40:19,50.75755259,7.03960048,4,107.226,,1.540,295,,36,,
T,2020-12-13 15:40:20,50.75755845,7.03958007,4,107.366,,1.540,295,,36,,
T,2020-12-13 15:40:21,50.75756174,7.03955971,4,107.635,,1.530,290,,36,,
T,2020-12-13 15:40:22,50.75756760,7.03954078,4,107.051,,1.460,290,,36,,
T,2020-12-13 15:40:23,50.75757463,7.03951729,4,106.677,,1.540,292,,36,,
T,2020-12-13 15:40:24,50.75758261,7.03949665,4,107.052,,1.530,296,,36,,
T,2020-12-13 15:40:25,50.75758981,7.03947259,4,107.653,,1.540,298,,36,,
T,2020-12-13 15:40:26,50.75759847,7.03944969,4,108.044,,1.530,293,,36,,
T,2020-12-13 15:40:27,50.75760417,7.03942717,4,107.728,,1.480,300,,36,,
T,2020-12-13 15:40:28,50.75761096,7.03940544,4,107.703,,1.550,300,,36,,
T,2020-12-13 15:40:29,50.75761843,7.03938177,4,108.029,,1.540,296,,36,,
T,2020-12-13 15:40:30,50.75762597,7.03935775,4,108.120,,1.550,298,,36,,
T,2020-12-13 15:40:31,50.75762921,7.03933626,4,108.172,,1.340,277,,36,,
T,2020-12-13 15:40:32,50.75763461,7.03931516,4,108.391,,1.550,291,,36,,
T,2020-12-13 15:40:33,50.75763936,7.03929716,4,108.097,,1.310,289,,36,,
T,2020-12-13 15:40:34,50.75764665,7.03927815,4,108.234,,1.540,296,,36,,
T,2020-12-13 15:40:35,50.75765297,7.03925888,4,107.739,,1.420,292,,36,,
T,2020-12-13 15:40:36,50.75765653,7.03923291,4,108.184,,1.500,288,,36,,
T,2020-12-13 15:40:37,50.75766011,7.03920811,4,108.885,,1.490,288,,36,,
T,2020-12-13 15:40:38,50.75766497,7.03918351,4,108.639,,1.410,290,,36,,
T,2020-12-13 15:40:39,50.75766734,7.03915763,4,108.679,,1.590,274,,36,,
T,2020-12-13 15:40:40,50.75766624,7.03913307,4,107.580,,1.540,263,,36,,
T,2020-12-13 15:40:41,50.75766654,7.03911056,4,107.140,,1.550,271,,36,,
T,2020-12-13 15:40:42,50.75767084,7.03908770,4,106.521,,1.560,281,,36,,
T,2020-12-13 15:40:43,50.75767425,7.03906557,4,106.937,,1.510,277,,36,,
T,2020-12-13 15:40:44,50.75767582,7.03904416,4,106.221,,1.540,279,,36,,
T,2020-12-13 15:40:45,50.75767774,7.03902275,4,106.073,,1.550,277,,36,,
T,2020-12-13 15:40:46,50.75767985,7.03900077,4,106.181,,1.560,277,,36,,
T,2020-12-13 15:40:47,50.75768215,7.03897294,4,106.321,,1.510,279,,36,,
T,2020-12-13 15:40:48,50.75768301,7.03894950,4,106.217,,1.540,284,,36,,
T,2020-12-13 15:40:49,50.75768853,7.03892679,4,105.914,,1.570,292,,36,,
T,2020-12-13 15:40:50,50.75769187,7.03890198,4,106.071,,1.590,278,,36,,
T,2020-12-13 15:40:51,50.75769362,7.03887870,4,106.104,,1.560,277,,36,,
T,2020-12-13 15:40:52,50.75769715,7.03885642,4,105.904,,1.550,282,,36,,
T,2020-12-13 15:40:53,50.75770099,7.03883677,4,106.260,,1.490,287,,36,,
T,2020-12-13 15:40:54,50.75770418,7.03881536,4,105.919,,1.530,280,,36,,
T,2020-12-13 15:40:55,50.75770734,7.03879402,4,106.056,,1.530,280,,36,,
T,2020-12-13 15:40:56,50.75771374,7.03877397,4,106.333,,1.540,291,,36,,
T,2020-12-13 15:40:57,50.75771948,7.03875415,4,106.162,,1.460,289,,36,,
T,2020-12-13 15:40:58,50.75772390,7.03873219,4,105.904,,1.530,288,,36,,
T,2020-12-13 15:40:59,50.75772699,7.03871027,4,106.369,,1.560,278,,36,,
T,2020-12-13 15:41:00,50.75773175,7.03868985,4,106.259,,1.560,277,,36,,
T,2020-12-13 15:41:01,50.75773801,7.03866406,4,106.665,,1.510,282,,36,,
T,2020-12-13 15:41:02,50.75774729,7.03863489,4,106.912,,1.550,301,,36,,
T,2020-12-13 15:41:03,50.75775519,7.03861184,4,106.607,,1.460,300,,36,,
T,2020-12-13 15:41:04,50.75776262,7.03859108,4,106.632,,1.500,298,,36,,
T,2020-12-13 15:41:05,50.75777055,7.03857128,4,106.347,,1.500,299,,36,,
T,2020-12-13 15:41:06,50.75777664,7.03855234,4,106.777,,1.470,295,,36,,
T,2020-12-13 15:41:07,50.75778190,7.03853302,4,107.185,,1.460,297,,36,,
T,2020-12-13 15:41:08,50.75778564,7.03851642,4,107.158,,1.290,298,,36,,
T,2020-12-13 15:41:09,50.75778630,7.03849928,4,107.052,,1.330,285,,36,,
T,2020-12-13 15:41:10,50.75778726,7.03847998,4,107.340,,1.410,280,,36,,
T,2020-12-13 15:41:11,50.75778801,7.03846054,4,107.117,,1.440,278,,36,,
T,2020-12-13 15:41:12,50.75778754,7.03844059,4,107.344,,1.430,266,,36,,
T,2020-12-13 15:41:13,50.75778644,7.03842023,4,106.913,,1.450,266,,36,,
T,2020-12-13 15:41:14,50.75778590,7.03839917,4,106.643,,1.510,275,,36,,
T,2020-12-13 15:41:15,50.75778552,7.03837862,4,106.268,,1.400,272,,36,,
T,2020-12-13 15:41:16,50.75778596,7.03835738,4,106.366,,1.520,272,,36,,
T,2020-12-13 15:41:17,50.75778879,7.03833702,4,106.203,,1.490,279,,36,,
T,2020-12-13 15:41:18,50.75779334,7.03831655,4,106.323,,1.480,284,,36,,
T,2020-12-13 15:41:19,50.75779602,7.03829637,4,106.806,,1.400,277,,36,,
T,2020-12-13 15:41:20,50.75779660,7.03827546,4,106.622,,1.400,273,,36,,
T,2020-12-13 15:41:21,50.75779686,7.03825280,4,107.357,,1.450,270,,36,,
T,2020-12-13 15:41:22,50.75779683,7.03823194,4,106.799,,1.380,271,,36,,
T,2020-12-13 15:41:23,50.75779699,7.03821104,4,106.186,,1.470,273,,36,,
T,2020-12-13 15:41:24,50.75779820,7.03819159,4,105.396,,1.420,280,,36,,
T,2020-12-13 15:41:25,50.75779988,7.03817097,4,104.925,,1.460,276,,36,,
T,2020-12-13 15:41:26,50.75780267,7.03814903,4,104.423,,1.460,275,,36,,
T,2020-12-13 15:41:27,50.75780389,7.03812831,4,104.307,,1.490,271,,36,,
T,2020-12-13 15:41:28,50.75780330,7.03810669,4,104.164,,1.470,264,,36,,
T,2020-12-13 15:41:29,50.75780188,7.03808705,4,103.705,,1.500,265,,36,,
T,2020-12-13 15:41:30,50.75780140,7.03806606,4,103.181,,1.500,274,,36,,
T,2020-12-13 15:41:31,50.75780122,7.03804537,4,103.460,,1.440,276,,36,,
T,2020-12-13 15:41:32,50.75780208,7.03802502,4,103.345,,1.490,281,,36,,
T,2020-12-13 15:41:33,50.75780316,7.03800326,4,102.815,,1.530,282,,36,,
T,2020-12-13 15:41:34,50.75780175,7.03798140,4,102.233,,1.490,272,,36,,
T,2020-12-13 15:41:35,50.75780249,7.03794771,4,102.832,,1.480,277,,36,,
T,2020-12-13 15:41:36,50.75780417,7.03791659,4,103.097,,1.370,282,,36,,
T,2020-12-13 15:41:37,50.75780626,7.03789107,4,102.849,,1.470,277,,36,,
T,2020-12-13 15:41:38,50.75780575,7.03786814,4,102.610,,1.480,268,,36,,
T,2020-12-13 15:41:39,50.75780455,7.03784662,4,102.128,,1.460,269,,36,,
T,2020-12-13 15:41:40,50.75780225,7.03782511,4,101.752,,1.480,264,,36,,
T,2020-12-13 15:41:41,50.75779984,7.03780324,4,102.328,,1.520,264,,36,,
T,2020-12-13 15:41:42,50.75779804,7.03778263,4,102.428,,1.470,263,,36,,
T,2020-12-13 15:41:43,50.75779598,7.03776292,4,102.207,,1.460,263,,36,,
T,2020-12-13 15:41:44,50.75779240,7.03774257,4,102.137,,1.580,256,,36,,
T,2020-12-13 15:41:45,50.75778844,7.03772216,4,101.718,,1.500,252,,36,,
T,2020-12-13 15:41:46,50.75778426,7.03770080,4,101.310,,1.570,253,,36,,
T,2020-12-13 15:41:47,50.75778149,7.03767903,4,101.239,,1.600,261,,36,,
T,2020-12-13 15:41:48,50.75777817,7.03765962,4,101.079,,1.460,262,,36,,
T,2020-12-13 15:41:49,50.75777484,7.03764175,4,101.066,,1.360,262,,36,,
T,2020-12-13 15:41:50,50.75777074,7.03762177,4,101.043,,1.520,263,,36,,
T,2020-12-13 15:41:51,50.75776868,7.03760173,4,101.186,,1.480,266,,36,,
T,2020-12-13 15:41:52,50.75776688,7.03758208,4,101.075,,1.490,269,,36,,
T,2020-12-13 15:41:53,50.75776581,7.03756114,4,100.816,,1.500,262,,36,,
T,2020-12-13 15:41:54,50.75776304,7.03754044,4,100.225,,1.550,261,,36,,
T,2020-12-13 15:41:55,50.75776044,7.03752036,4,99.855,,1.480,261,,36,,
T,2020-12-13 15:41:56,50.75775778,7.03749982,4,99.915,,1.480,264,,36,,
T,2020-12-13 15:41:57,50.75775578,7.03747896,4,99.631,,1.490,264,,36,,
T,2020-12-13 15:41:58,50.75775390,7.03745797,4,99.849,,1.520,266,,36,,
T,2020-12-13 15:41:59,50.75775085,7.03743756,4,100.038,,1.520,262,,36,,
T,2020-12-13 15:42:00,50.75774580,7.03741687,4,99.632,,1.470,257,,36,,
T,2020-12-13 15:42:01,50.75774233,7.03739658,4,99.515,,1.500,258,,36,,
T,2020-12-13 15:42:02,50.75773956,7.03737827,4,99.840,,1.430,259,,36,,
T,2020-12-13 15:42:03,50.75773635,7.03735925,4,99.411,,1.460,259,,36,,
T,2020-12-13 15:42:04,50.75773318,7.03733971,4,99.604,,1.450,260,,36,,
T,2020-12-13 15:42:05,50.75773014,7.03731745,4,99.830,,1.450,253,,36,,
T,2020-12-13 15:42:06,50.75772600,7.03729628,4,99.891,,1.490,251,,36,,
T,2020-12-13 15:42:07,50.75772208,7.03727489,4,100.073,,1.480,255,,36,,
T,2020-12-13 15:42:08,50.75771865,7.03725428,4,100.095,,1.470,251,,36,,
T,2020-12-13 15:42:09,50.75771309,7.03723130,4,100.219,,1.510,245,,36,,
T,2020-12-13 15:42:10,50.75770755,7.03720988,4,100.107,,1.490,248,,36,,
T,2020-12-13 15:42:11,50.75770326,7.03718901,4,100.130,,1.440,252,,36,,
T,2020-12-13 15:42:12,50.75769867,7.03716978,4,100.307,,1.440,248,,36,,
T,2020-12-13 15:42:13,50.75769239,7.03715288,4,100.226,,1.440,240,,36,,
T,2020-12-13 15:42:14,50.75768625,7.03713504,4,99.695,,1.440,239,,36,,
T,2020-12-13 15:42:15,50.75768139,7.03711491,4,99.535,,1.480,246,,36,,
T,2020-12-13 15:42:16,50.75767630,7.03709543,4,99.662,,1.350,250,,36,,
T,2020-12-13 15:42:17,50.75766956,7.03707736,4,99.619,,1.350,237,,36,,
T,2020-12-13 15:42:18,50.75766195,7.03706163,4,99.732,,1.370,236,,36,,
T,2020-12-13 15:42:19,50.75765366,7.03704305,4,99.945,,1.360,231,,36,,
T,2020-12-13 15:42:20,50.75764156,7.03702886,4,100.719,,1.490,203,,36,,
T,2020-12-13 15:42:21,50.75762315,7.03703910,4,101.240,,2.270,151,,36,,
T,2020-12-13 15:42:22,50.75761399,7.03704143,4,100.793,,0.890,176,,36,,
T,2020-12-13 15:42:23,50.75760424,7.03703576,4,101.282,,1.240,185,,36,,
T,2020-12-13 15:42:24,50.75759521,7.03703089,4,100.979,,1.080,180,,36,,
T,2020-12-13 15:42:25,50.75758722,7.03701787,4,100.999,,1.170,215,,36,,
T,2020-12-13 15:42:26,50.75758088,7.03699666,4,100.274,,1.380,236,,36,,
T,2020-12-13 15:42:27,50.75758217,7.03697424,4,100.450,,1.490,266,,36,,
T,2020-12-13 15:42:28,50.75758557,7.03695416,4,100.453,,1.270,279,,36,,
T,2020-12-13 15:42:29,50.75758341,7.03693204,4,100.426,,1.440,256,,36,,
T,2020-12-13 15:42:30,50.75758016,7.03691270,4,100.535,,1.340,253,,36,,
T,2020-12-13 15:42:31,50.75757957,7.03689289,4,100.375,,1.360,265,,36,,
T,2020-12-13 15:42:32,50.75757843,7.03687413,4,100.589,,1.330,258,,36,,
T,2020-12-13 15:42:33,50.75757517,7.03685589,4,100.318,,1.360,250,,36,,
T,2020-12-13 15:42:34,50.75756984,7.03683939,4,100.084,,1.320,239,,36,,
T,2020-12-13 15:42:35,50.75756393,7.03682228,4,100.364,,1.360,244,,36,,
T,2020-12-13 15:42:36,50.75756058,7.03680161,4,100.587,,1.350,260,,36,,
T,2020-12-13 15:42:37,50.75756301,7.03678191,4,100.043,,1.340,284,,36,,
T,2020-12-13 15:42:38,50.75756346,7.03676211,4,100.335,,1.380,268,,36,,
T,2020-12-13 15:42:39,50.75756059,7.03674183,4,100.539,,1.490,253,,36,,
T,2020-12-13 15:42:40,50.75755820,7.03672238,4,100.437,,1.420,251,,36,,
T,2020-12-13 15:42:41,50.75755581,7.03670447,4,100.802,,1.370,250,,36,,
T,2020-12-13 15:42:42,50.75755032,7.03668681,4,101.043,,1.370,247,,36,,
T,2020-12-13 15:42:43,50.75754261,7.03667138,4,100.973,,1.390,232,,36,,
T,2020-12-13 15:42:44,50.75753470,7.03665983,4,100.962,,1.310,222,,36,,
T,2020-12-13 15:42:45,50.75752616,7.03664898,4,100.828,,1.360,222,,36,,
T,2020-12-13 15:42:46,50.75751724,7.03663791,4,101.032,,1.370,215,,36,,
T,2020-12-13 15:42:47,50.75750793,7.03662836,4,100.943,,1.360,214,,36,,
T,2020-12-13 15:42:48,50.75749782,7.03661815,4,100.899,,1.420,215,,36,,
T,2020-12-13 15:42:49,50.75748761,7.03661069,4,100.911,,1.310,210,,36,,
T,2020-12-13 15:42:50,50.75747633,7.03659812,4,101.414,,1.380,211,,36,,
T,2020-12-13 15:42:51,50.75746736,7.03658500,4,101.196,,1.380,217,,36,,
T,2020-12-13 15:42:52,50.75745862,7.03657083,4,100.909,,1.390,216,,36,,
T,2020-12-13 15:42:53,50.75744911,7.03655584,4,101.066,,1.450,215,,36,,
T,2020-12-13 15:42:54,50.75743889,7.03654416,4,101.211,,1.420,212,,36,,
T,2020-12-13 15:42:55,50.75742880,7.03653387,4,100.963,,1.350,212,,36,,
T,2020-12-13 15:42:56,50.75741979,7.03652189,4,101.217,,1.380,219,,36,,
T,2020-12-13 15:42:57,50.75741038,7.03651117,4,101.017,,1.310,217,,36,,
T,2020-12-13 15:42:58,50.75740071,7.03650120,4,101.010,,1.340,214,,36,,
T,2020-12-13 15:42:59,50.75739019,7.03649126,4,100.997,,1.400,211,,36,,
T,2020-12-13 15:43:00,50.75738027,7.03648026,4,100.792,,1.400,212,,36,,
T,2020-12-13 15:43:01,50.75737093,7.03646965,4,100.959,,1.310,217,,36,,
T,2020-12-13 15:43:02,50.75736212,7.03645878,4,100.733,,1.300,217,,36,,
T,2020-12-13 15:43:03,50.75735235,7.03644889,4,101.061,,1.340,210,,36,,
T,2020-12-13 15:43:04,50.75734260,7.03643897,4,102.772,,1.390,213,,36,,
T,2020-12-13 15:43:05,50.75733194,7.03643073,4,102.332,,1.360,212,,36,,
T,2020-12-13 15:43:06,50.75732173,7.03642009,4,102.012,,1.440,218,,36,,
T,2020-12-13 15:43:07,50.75731084,7.03641126,4,101.712,,1.330,212,,36,,
T,2020-12-13 15:43:08,50.75729976,7.03640099,4,101.699,,1.430,215,,36,,
T,2020-12-13 15:43:09,50.75728853,7.03639175,4,101.332,,1.440,211,,36,,
T,2020-12-13 15:43:10,50.75727619,7.03638161,4,101.590,,1.530,210,,36,,
T,2020-12-13 15:43:11,50.75726514,7.03637080,4,101.341,,1.380,205,,36,,
T,2020-12-13 15:43:12,50.75725444,7.03635858,4,100.978,,1.440,216,,36,,
T,2020-12-13 15:43:13,50.75724395,7.03634630,4,100.852,,1.370,218,,36,,
T,2020-12-13 15:43:14,50.75723421,7.03633364,4,100.999,,1.410,218,,36,,
T,2020-12-13 15:43:15,50.75722349,7.03632226,4,101.325,,1.420,212,,36,,
T,2020-12-13 15:43:16,50.75721510,7.03631156,4,101.292,,1.230,220,,36,,
T,2020-12-13 15:43:17,50.75720605,7.03629930,4,101.720,,1.290,219,,36,,
T,2020-12-13 15:43:18,50.75719831,7.03628901,4,101.869,,1.150,219,,36,,
T,2020-12-13 15:43:19,50.75718923,7.03628059,4,101.626,,1.260,208,,36,,
T,2020-12-13 15:43:20,50.75717928,7.03627359,4,101.854,,1.280,204,,36,,
T,2020-12-13 15:43:21,50.75716912,7.03626623,4,101.103,,1.270,205,,36,,
T,2020-12-13 15:43:22,50.75715879,7.03625319,4,100.907,,1.530,220,,36,,
T,2020-12-13 15:43:23,50.75714893,7.03624077,4,100.581,,1.370,220,,36,,
T,2020-12-13 15:43:24,50.75713742,7.03622968,4,100.277,,1.570,212,,36,,
T,2020-12-13 15:43:25,50.75712754,7.03622022,4,100.093,,1.370,211,,36,,
T,2020-12-13 15:43:26,50.75711932,7.03620903,4,100.092,,1.380,218,,36,,
T,2020-12-13 15:43:27,50.75711045,7.03619635,4,100.249,,1.440,225,,36,,
T,2020-12-13 15:43:28,50.75710161,7.03618498,4,100.316,,1.440,221,,36,,
T,2020-12-13 15:43:29,50.75709093,7.03617747,4,100.238,,1.360,209,,36,,
T,2020-12-13 15:43:30,50.75707866,7.03616468,4,101.667,,1.630,219,,36,,
T,2020-12-13 15:43:31,50.75706657,7.03615261,4,101.256,,1.600,215,,36,,
T,2020-12-13 15:43:32,50.75705324,7.03614432,4,100.584,,1.540,205,,36,,
T,2020-12-13 15:43:33,50.75704081,7.03613443,4,99.740,,1.500,210,,36,,
T,2020-12-13 15:43:34,50.75703088,7.03612039,4,99.501,,1.530,217,,36,,
T,2020-12-13 15:43:35,50.75701948,7.03610906,4,98.901,,1.530,208,,36,,
T,2020-12-13 15:43:36,50.75700791,7.03609701,4,98.051,,1.520,214,,36,,
T,2020-12-13 15:43:37,50.75699561,7.03608386,4,98.152,,1.590,215,,36,,
T,2020-12-13 15:43:38,50.75698253,7.03607055,4,98.946,,1.650,213,,36,,
T,2020-12-13 15:43:39,50.75697062,7.03605671,4,99.247,,1.610,215,,36,,
T,2020-12-13 15:43:40,50.75695709,7.03604503,4,98.164,,1.560,208,,36,,
T,2020-12-13 15:43:41,50.75694487,7.03603156,4,97.570,,1.570,209,,36,,
T,2020-12-13 15:43:42,50.75693437,7.03601366,4,97.353,,1.620,221,,36,,
T,2020-12-13 15:43:43,50.75692210,7.03599854,4,99.893,,1.590,214,,36,,
T,2020-12-13 15:43:44,50.75690990,7.03598443,4,97.645,,1.600,218,,36,,
T,2020-12-13 15:43:45,50.75689983,7.03596786,4,97.919,,1.600,224,,36,,
T,2020-12-13 15:43:46,50.75688915,7.03595034,4,97.939,,1.720,226,,36,,
T,2020-12-13 15:43:47,50.75687673,7.03593675,4,97.480,,1.650,212,,36,,
T,2020-12-13 15:43:48,50.75686612,7.03592533,4,96.423,,1.540,216,,36,,
T,2020-12-13 15:43:49,50.75685445,7.03591568,4,96.563,,1.560,212,,36,,
T,2020-12-13 15:43:50,50.75684339,7.03590323,4,96.523,,1.550,221,,36,,
T,2020-12-13 15:43:51,50.75683314,7.03588650,4,96.773,,1.620,225,,36,,
T,2020-12-13 15:43:52,50.75682321,7.03586966,4,96.575,,1.570,226,,36,,
T,2020-12-13 15:43:53,50.75681096,7.03585529,4,96.692,,1.590,216,,36,,
T,2020-12-13 15:43:54,50.75679705,7.03584245,4,96.613,,1.540,216,,36,,
T,2020-12-13 15:43:55,50.75678406,7.03583020,4,96.281,,1.630,214,,36,,
T,2020-12-13 15:43:56,50.75677326,7.03581576,4,95.982,,1.580,220,,36,,
T,2020-12-13 15:43:57,50.75676222,7.03579876,4,96.004,,1.530,222,,36,,
T,2020-12-13 15:43:58,50.75675236,7.03578131,4,96.063,,1.570,227,,36,,
T,2020-12-13 15:43:59,50.75674298,7.03576354,4,96.250,,1.530,227,,36,,
T,2020-12-13 15:44:00,50.75673228,7.03575034,4,96.519,,1.520,218,,36,,
T,2020-12-13 15:44:01,50.75672043,7.03573965,4,96.282,,1.480,211,,36,,
T,2020-12-13 15:44:02,50.75671089,7.03572704,4,96.428,,1.500,223,,36,,
T,2020-12-13 15:44:03,50.75670145,7.03571709,4,96.748,,1.400,212,,36,,
T,2020-12-13 15:44:04,50.75669058,7.03570519,4,96.499,,1.490,220,,36,,
T,2020-12-13 15:44:05,50.75667985,7.03569603,4,96.849,,1.440,218,,36,,
T,2020-12-13 15:44:06,50.75666821,7.03568446,4,96.978,,1.560,223,,36,,
T,2020-12-13 15:44:07,50.75665644,7.03567270,4,96.673,,1.520,221,,36,,
T,2020-12-13 15:44:08,50.75664565,7.03565930,4,97.374,,1.510,221,,36,,
T,2020-12-13 15:44:09,50.75663536,7.03564510,4,97.502,,1.420,219,,36,,
T,2020-12-13 15:44:10,50.75662491,7.03563046,4,97.764,,1.410,219,,36,,
T,2020-12-13 15:44:11,50.75661522,7.03561503,4,97.969,,1.470,224,,36,,
T,2020-12-13 15:44:12,50.75660650,7.03559992,4,97.979,,1.360,224,,36,,
T,2020-12-13 15:44:13,50.75660010,7.03558203,4,97.833,,1.440,238,,36,,
T,2020-12-13 15:44:14,50.75658878,7.03556789,4,97.969,,1.630,216,,36,,
T,2020-12-13 15:44:15,50.75657743,7.03555468,4,98.231,,1.560,215,,36,,
T,2020-12-13 15:44:16,50.75656698,7.03553718,4,98.682,,1.580,222,,36,,
T,2020-12-13 15:44:17,50.75655629,7.03551813,4,98.673,,1.550,223,,36,,
T,2020-12-13 15:44:18,50.75654394,7.03550278,4,99.002,,1.540,203,,36,,
T,2020-12-13 15:44:19,50.75653619,7.03547826,4,99.220,,1.430,230,,36,,
T,2020-12-13 15:44:20,50.75653009,7.03545208,4,98.822,,1.440,243,,36,,
T,2020-12-13 15:44:21,50.75652266,7.03542783,4,99.207,,1.430,230,,36,,
T,2020-12-13 15:44:22,50.75651213,7.03540381,4,99.334,,1.420,223,,36,,
T,2020-12-13 15:44:23,50.75650157,7.03538330,4,99.390,,1.450,218,,36,,
T,2020-12-13 15:44:24,50.75649004,7.03536400,4,99.409,,1.460,219,,36,,
T,2020-12-13 15:44:25,50.75647842,7.03534603,4,99.545,,1.530,221,,36,,
T,2020-12-13 15:44:26,50.75646858,7.03532997,4,99.562,,1.440,218,,36,,
T,2020-12-13 15:44:27,50.75645676,7.03531578,4,99.468,,1.500,213,,36,,
T,2020-12-13 15:44:28,50.75644515,7.03530166,4,99.618,,1.460,213,,36,,
T,2020-12-13 15:44:29,50.75643271,7.03528794,4,99.909,,1.470,218,,36,,
T,2020-12-13 15:44:30,50.75642195,7.03527206,4,100.344,,1.420,223,,36,,
T,2020-12-13 15:44:31,50.75641141,7.03525607,4,100.646,,1.390,222,,36,,
T,2020-12-13 15:44:32,50.75640073,7.03523821,4,100.370,,1.520,223,,36,,
T,2020-12-13 15:44:33,50.75639011,7.03522099,4,100.331,,1.480,225,,36,,
T,2020-12-13 15:44:34,50.75637728,7.03520679,4,100.448,,1.560,215,,36,,
T,2020-12-13 15:44:35,50.75636536,7.03518993,4,100.518,,1.570,221,,36,,
T,2020-12-13 15:44:36,50.75635229,7.03517951,4,100.464,,1.600,208,,36,,
T,2020-12-13 15:44:37,50.75633980,7.03517334,4,100.829,,1.380,196,,36,,
T,2020-12-13 15:44:38,50.75632529,7.03517220,4,100.926,,1.520,180,,36,,
T,2020-12-13 15:44:39,50.75631082,7.03517747,4,101.242,,1.490,163,,36,,
T,2020-12-13 15:44:40,50.75629735,7.03518626,4,101.825,,1.590,154,,36,,
T,2020-12-13 15:44:41,50.75628492,7.03519814,4,102.451,,1.480,140,,36,,
T,2020-12-13 15:44:42,50.75627433,7.03521368,4,102.753,,1.510,132,,36,,
T,2020-12-13 15:44:43,50.75626474,7.03523102,4,103.801,,1.470,130,,36,,
T,2020-12-13 15:44:44,50.75625461,7.03524588,4,103.688,,1.460,136,,36,,
T,2020-12-13 15:44:45,50.75624472,7.03526127,4,103.682,,1.560,138,,36,,
T,2020-12-13 15:44:46,50.75623491,7.03527726,4,103.840,,1.570,134,,36,,
T,2020-12-13 15:44:47,50.75622421,7.03529123,4,103.918,,1.560,136,,36,,
T,2020-12-13 15:44:48,50.75621333,7.03530448,4,103.625,,1.520,138,,36,,
T,2020-12-13 15:44:49,50.75620235,7.03531939,4,103.688,,1.590,137,,36,,
T,2020-12-13 15:44:50,50.75619173,7.03533300,4,103.456,,1.520,141,,36,,
T,2020-12-13 15:44:51,50.75618109,7.03534485,4,102.978,,1.410,146,,36,,
T,2020-12-13 15:44:52,50.75616968,7.03536073,4,102.401,,1.610,138,,36,,
T,2020-12-13 15:44:53,50.75615827,7.03537727,4,102.481,,1.630,136,,36,,
T,2020-12-13 15:44:54,50.75614650,7.03539231,4,102.147,,1.670,142,,36,,
T,2020-12-13 15:44:55,50.75613420,7.03540840,4,101.943,,1.700,139,,36,,
T,2020-12-13 15:44:56,50.75612329,7.03542512,4,101.775,,1.650,135,,36,,
T,2020-12-13 15:44:57,50.75611138,7.03544127,4,101.833,,1.660,137,,36,,
T,2020-12-13 15:44:58,50.75609913,7.03545766,4,101.585,,1.710,136,,36,,
