X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
7.043409,50.754994,0,0,52,102.461758,2020/09/13 14:45:08.524+00,,,,,,,,,,,,,,,,,,,,,
7.043345,50.755112,0,0,53,102.394209,2020/09/13 14:45:10.516+00,,,,,,,,,,,,,,,,,,,,,
7.043307,50.755233,0,0,54,102.327412,2020/09/13 14:45:12.526+00,,,,,,,,,,,,,,,,,,,,,
7.043293,50.755359,0,0,55,102.239026,2020/09/13 14:45:14.581+00,,,,,,,,,,,,,,,,,,,,,
7.043308,50.755486,0,0,56,102.149607,2020/09/13 14:45:16.500+00,,,,,,,,,,,,,,,,,,,,,
7.043371,50.755612,0,0,57,102.056818,2020/09/13 14:45:18.526+00,,,,,,,,,,,,,,,,,,,,,
7.043447,50.755728,0,0,58,101.968652,2020/09/13 14:45:20.537+00,,,,,,,,,,,,,,,,,,,,,
7.043505,50.755852,0,0,59,101.877857,2020/09/13 14:45:22.526+00,,,,,,,,,,,,,,,,,,,,,
7.043603,50.755964,0,0,60,101.787974,2020/09/13 14:45:24.522+00,,,,,,,,,,,,,,,,,,,,,
7.043745,50.756057,0,0,61,101.697188,2020/09/13 14:45:26.530+00,,,,,,,,,,,,,,,,,,,,,
7.043884,50.756128,0,0,62,101.617833,2020/09/13 14:45:28.522+00,,,,,,,,,,,,,,,,,,,,,
7.043954,50.756217,0,0,63,101.548036,2020/09/13 14:45:30.522+00,,,,,,,,,,,,,,,,,,,,,
7.044046,50.756341,0,0,64,101.451858,2020/09/13 14:45:32.530+00,,,,,,,,,,,,,,,,,,,,,
7.04417,50.756451,0,0,65,101.356997,2020/09/13 14:45:35.526+00,,,,,,,,,,,,,,,,,,,,,
7.04429,50.756549,0,0,66,101.269958,2020/09/13 14:45:38.533+00,,,,,,,,,,,,,,,,,,,,,
7.04441,50.756649,0,0,67,101.181806,2020/09/13 14:45:41.581+00,,,,,,,,,,,,,,,,,,,,,
7.044537,50.75674,0,0,68,101.096573,2020/09/13 14:45:44.534+00,,,,,,,,,,,,,,,,,,,,,
